url,kind,ext,local_path,size_bytes,status,logo_copy
https://framerusercontent.com/images/f5XK5ZsURdsJ93NnNy9Sktuo8.png?width=1920&height=1080,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/f5XK5ZsURdsJ93NnNy9Sktuo8_1920x1080.png,453216,ok,
https://framerusercontent.com/images/fKOI4iz4M6SHNRYZj1Y5hkz2HRE.png?width=1920&height=1080,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/fKOI4iz4M6SHNRYZj1Y5hkz2HRE_1920x1080.png,178285,ok,
https://framerusercontent.com/images/h3T4fye8lPV6NdzXiG5dFBe7UMw.svg,image,.svg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/h3T4fye8lPV6NdzXiG5dFBe7UMw.svg,489,ok,/Users/minwoo/Documents/New project/output/vrink-media-assets/logos/h3T4fye8lPV6NdzXiG5dFBe7UMw.svg
https://framerusercontent.com/images/h4W1J1FvuhUEq5hB5AH6Ds3Qui0.jpg?width=2000&height=2500,image,.jpg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/h4W1J1FvuhUEq5hB5AH6Ds3Qui0_2000x2500.jpg,683622,ok,
https://framerusercontent.com/images/ioDt5M5yUvLF7NqXff6uz8j1E.png?width=1920&height=1080,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/ioDt5M5yUvLF7NqXff6uz8j1E_1920x1080.png,190476,ok,
https://framerusercontent.com/images/jknUab4QbXL4Zs8ohsz03L5KCs.png?width=4000&height=2207,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/jknUab4QbXL4Zs8ohsz03L5KCs_4000x2207.png,215850,ok,
https://framerusercontent.com/images/jmynHFI88eYrteXyOP5ilwMKs.jpg?width=2500&height=1875,image,.jpg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/jmynHFI88eYrteXyOP5ilwMKs_2500x1875.jpg,934779,ok,
https://framerusercontent.com/images/kLHel3SDRRm60nrvIInMgdYHw.png?width=2808&height=1548,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/kLHel3SDRRm60nrvIInMgdYHw_2808x1548.png,65252,ok,
https://framerusercontent.com/images/leoOhtH15fgXvOX078BlOsVwCks.png?width=1920&height=1080,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/leoOhtH15fgXvOX078BlOsVwCks_1920x1080.png,17686,ok,
https://framerusercontent.com/images/pNCIbA72FuNKLcR0gKJr9uie8a8.png,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/pNCIbA72FuNKLcR0gKJr9uie8a8.png,27046,ok,
https://framerusercontent.com/images/rNeQmFn0cHc3TFVnbzqC3I3hdJc.png?width=1200&height=675,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/rNeQmFn0cHc3TFVnbzqC3I3hdJc_1200x675.png,419323,ok,
https://framerusercontent.com/images/sRGkCfZLsWHwu8fxHoe8P2QVUzM.svg?width=532&height=152,image,.svg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/sRGkCfZLsWHwu8fxHoe8P2QVUzM_532x152.svg,1412,ok,/Users/minwoo/Documents/New project/output/vrink-media-assets/logos/sRGkCfZLsWHwu8fxHoe8P2QVUzM_532x152.svg
https://framerusercontent.com/images/wMiWjY8eIdsi28pdHYmHqvTcmqs.jpg?width=2499&height=1666,image,.jpg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/wMiWjY8eIdsi28pdHYmHqvTcmqs_2499x1666.jpg,625554,ok,
https://framerusercontent.com/images/wyHrWMYG89zK2tWoT8Y50bMOVLI.jpg?width=2499&height=1406,image,.jpg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/wyHrWMYG89zK2tWoT8Y50bMOVLI_2499x1406.jpg,586379,ok,
https://framerusercontent.com/images/x89czhSCz2CAiRqDsFPk2mroztw.png?width=4000&height=4000,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/x89czhSCz2CAiRqDsFPk2mroztw_4000x4000.png,812647,ok,
https://framerusercontent.com/images/xUVN1jwsP5anIGCNlkujwEKqX8.png?width=759&height=1543,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/xUVN1jwsP5anIGCNlkujwEKqX8_759x1543.png,24176,ok,
https://framerusercontent.com/images/yWLrRIIGexzNUtQnVArSJSftkcQ.png?width=2173&height=1626,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/yWLrRIIGexzNUtQnVArSJSftkcQ_2173x1626.png,96207,ok,
